Timestamp;gimbal_y.target_angle;gimbal_y.IMU_actual_angle;gimbal_p.target_angle;gimbal_p.IMU_actual_angle
0;0.000000;-0.014513;0.000000;0.329505
1224;0.000000;-0.014513;0.000000;0.329505
2089;0.000000;-0.014513;0.000000;0.329505
3104;0.000000;-0.014513;0.000000;0.329505
4092;0.000000;-0.014513;0.000000;0.329505
5091;0.000000;-0.014513;0.000000;0.329505
6087;0.000000;-0.014513;0.000000;0.329505
7087;0.000000;-0.014513;0.000000;0.329505
8091;0.000000;-0.014513;0.000000;0.329505
9091;0.000000;-0.014513;0.000000;0.329505
10088;0.000000;-0.014516;0.000000;0.329603
11088;0.000000;-0.014516;0.000000;0.329603
12092;0.000000;-0.014516;0.000000;0.329603
13139;0.000000;-0.014516;0.000000;0.329603
14086;0.000000;-0.014516;0.000000;0.329603
15090;0.000000;-0.014516;0.000000;0.329603
16090;0.000000;-0.014516;0.000000;0.329603
17086;0.000000;-0.014516;0.000000;0.329603
18107;0.000000;-0.014516;0.000000;0.329603
19088;0.000000;-0.014516;0.000000;0.329603
20088;0.000000;-0.014516;0.000000;0.329603
21092;0.000000;-0.014516;0.000000;0.329603
22092;0.000000;-0.014516;0.000000;0.329603
23091;0.000000;-0.014515;0.000000;0.330096
24116;0.000000;-0.014515;0.000000;0.330096
25105;0.000000;-0.014515;0.000000;0.330096
26086;0.000000;-0.014515;0.000000;0.330096
27086;0.000000;-0.014515;0.000000;0.330096
28090;0.000000;-0.014515;0.000000;0.330096
29090;0.000000;-0.014515;0.000000;0.330096
30087;0.000000;-0.014515;0.000000;0.330096
31087;0.000000;-0.014515;0.000000;0.330096
32102;0.000000;-0.014515;0.000000;0.330096
33088;0.000000;-0.014515;0.000000;0.330096
34092;0.000000;-0.014515;0.000000;0.330096
35085;0.000000;-0.014515;0.000000;0.330096
36089;0.000000;-0.014517;0.000000;0.330807
37125;0.000000;-0.014517;0.000000;0.330807
38087;0.000000;-0.014517;0.000000;0.330807
39093;0.000000;-0.014517;0.000000;0.330807
40085;0.000000;-0.014517;0.000000;0.330807
41090;0.000000;-0.014517;0.000000;0.330807
42092;0.000000;-0.014517;0.000000;0.330807
43091;0.000000;-0.014517;0.000000;0.330807
44092;0.000000;-0.014517;0.000000;0.330807
45088;0.000000;-0.014517;0.000000;0.330807
46090;0.000000;-0.014517;0.000000;0.330807
47086;0.000000;-0.014517;0.000000;0.330807
48142;0.000000;-0.014517;0.000000;0.330807
49090;0.000000;-0.014514;0.000000;0.330912
50086;0.000000;-0.014514;0.000000;0.330912
51088;0.000000;-0.014514;0.000000;0.330912
52093;0.000000;-0.014514;0.000000;0.330912
53089;0.000000;-0.014514;0.000000;0.330912
54085;0.000000;-0.014514;0.000000;0.330912
55086;0.000000;-0.014514;0.000000;0.330912
56091;0.000000;-0.014514;0.000000;0.330912
57093;0.000000;-0.014514;0.000000;0.330912
58089;0.000000;-0.014514;0.000000;0.330912
59090;0.000000;-0.014514;0.000000;0.330912
60103;0.000000;-0.014514;0.000000;0.330912
61090;0.000000;-0.014514;0.000000;0.330912
62092;0.000000;-0.014514;0.000000;0.331117
63091;0.000000;-0.014514;0.000000;0.331117
64092;0.000000;-0.014514;0.000000;0.331117
65088;0.000000;-0.014514;0.000000;0.331117
66089;0.000000;-0.014514;0.000000;0.331117
67086;0.000000;-0.014514;0.000000;0.331117
68087;0.000000;-0.014514;0.000000;0.331117
69092;0.000000;-0.014514;0.000000;0.331117
70093;0.000000;-0.014514;0.000000;0.331117
71087;0.000000;-0.014514;0.000000;0.331117
72103;0.000000;-0.014514;0.000000;0.331117
73093;0.000000;-0.014514;0.000000;0.331117
74085;0.000000;-0.014514;0.000000;0.331117
75090;0.000000;-0.014515;0.000000;0.331189
76090;0.000000;-0.014515;0.000000;0.331189
77086;0.000000;-0.014515;0.000000;0.331189
78087;0.000000;-0.014515;0.000000;0.331189
79091;0.000000;-0.014515;0.000000;0.331189
80092;0.000000;-0.014515;0.000000;0.331189
81087;0.000000;-0.014515;0.000000;0.331189
82088;0.000000;-0.014515;0.000000;0.331189
83104;0.000000;-0.014515;0.000000;0.331189
84087;0.000000;-0.014515;0.000000;0.331189
85091;0.000000;-0.014515;0.000000;0.331189
86092;0.000000;-0.014515;0.000000;0.331189
87088;0.000000;-0.014515;0.000000;0.331189
